Accession number,Source,Tissue,Development stage,Country
SRX6608686,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608690,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608687,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608688,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608692,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608684,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608682,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608680,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608681,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608679,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608675,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608674,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608673,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608677,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608678,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608676,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608671,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608670,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608672,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608667,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608669,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608665,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608666,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608668,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608664,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608663,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608662,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608660,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608659,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608661,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608658,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6608657,RNA-Seq,leaf,seedling stage with five fully expanded leaves,"China: Fuzhou, Fujian Agriculture and Forestry University, Joint FAFU-Dalhousie Lab"
SRX6589499,RNA-Seq,,,Sweden: Uppsala
SRX6589496,RNA-Seq,,,Sweden: Uppsala
SRX6589497,RNA-Seq,,,Sweden: Uppsala
SRX6589498,RNA-Seq,,,Sweden: Uppsala
SRX6589495,RNA-Seq,,,Sweden: Uppsala
SRX6589490,RNA-Seq,,,Sweden: Uppsala
SRX6589491,RNA-Seq,,,Sweden: Uppsala
SRX6589492,RNA-Seq,,,Sweden: Uppsala
SRX6589494,RNA-Seq,,,Sweden: Uppsala
SRX6589489,RNA-Seq,,,Sweden: Uppsala
SRX6589493,RNA-Seq,,,Sweden: Uppsala
SRX6589488,RNA-Seq,,,Sweden: Uppsala
SRX6581107,RNA-Seq,Roots,,
SRX6581106,RNA-Seq,Roots,,
SRX6581105,RNA-Seq,Roots,,
SRX6581103,RNA-Seq,Roots,,
SRX6581102,RNA-Seq,Roots,,
SRX6581104,RNA-Seq,Roots,,
SRX5975757,RNA-Seq,Axillary nodes,Axillary nodes 21 days post short-day induction,"India: Pune, Maharashtra"
SRX5975756,RNA-Seq,Axillary nodes,Axillary nodes 21 days post short-day induction,"India: Pune, Maharashtra"
SRX5975755,RNA-Seq,Axillary nodes,Axillary nodes 21 days post short-day induction,"India: Pune, Maharashtra"
SRX6434264,RNA-Seq,,,Peru
SRX5975754,RNA-Seq,Axillary nodes,Axillary nodes 21 days post short-day induction,"India: Pune, Maharashtra"
SRX6071932,ncRNA-Seq,leaf,,
SRX6071935,ncRNA-Seq,leaf,,
SRX5975752,RNA-Seq,Axillary nodes,Axillary nodes 21 days post short-day induction,"India: Pune, Maharashtra"
SRX5975753,RNA-Seq,Axillary nodes,Axillary nodes 21 days post short-day induction,"India: Pune, Maharashtra"
SRX5975751,RNA-Seq,Axillary nodes,Axillary nodes 21 days post short-day induction,"India: Pune, Maharashtra"
SRX5975750,RNA-Seq,Axillary nodes,Axillary nodes 21 days post short-day induction,"India: Pune, Maharashtra"
SRX5975024,miRNA-Seq,Leaves,,
SRX5975023,miRNA-Seq,Leaves,,
SRX5975025,miRNA-Seq,Leaves,,
SRX5975022,miRNA-Seq,Leaves,,
SRX5975020,miRNA-Seq,Leaves,,
SRX5975021,miRNA-Seq,Leaves,,
SRX5903128,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903127,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903126,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903125,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903124,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903123,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903122,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903121,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903117,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903120,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903118,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903119,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903116,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903115,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903114,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903111,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903112,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903113,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903107,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903110,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903108,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903106,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903105,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5903109,RNA-Seq,mature tuber,original seed,China:Qinghai
SRX5894824,RNA-Seq,flesh,not applicable,China:Gansu
SRX5894821,RNA-Seq,flesh,not applicable,China:Gansu
SRX5894826,RNA-Seq,skin,not applicable,China:Gansu
SRX5894823,RNA-Seq,flesh,not applicable,China:Gansu
SRX5894822,RNA-Seq,flesh,not applicable,China:Gansu
SRX5894819,RNA-Seq,skin,not applicable,China:Gansu
SRX5894825,RNA-Seq,flesh,not applicable,China:Gansu
SRX5894817,RNA-Seq,skin,not applicable,China:Gansu
SRX5894818,RNA-Seq,skin,not applicable,China:Gansu
SRX5894820,RNA-Seq,skin,not applicable,China:Gansu
SRX5894815,RNA-Seq,flesh,not applicable,China:Gansu
SRX5894814,RNA-Seq,flesh,not applicable,China:Gansu
SRX5894812,RNA-Seq,skin,not applicable,China:Gansu
SRX5894813,RNA-Seq,flesh,not applicable,China:Gansu
SRX5894809,RNA-Seq,flesh,not applicable,China:Gansu
SRX5894810,RNA-Seq,skin,not applicable,China:Gansu
SRX5894811,RNA-Seq,skin,not applicable,China:Gansu
SRX5894816,RNA-Seq,skin,not applicable,China:Gansu
SRX5801638,RNA-Seq,foliage,flower-falling,China:Gansu
SRX5801635,RNA-Seq,foliage,flower-falling,China:Gansu
SRX5801637,RNA-Seq,foliage,flower-falling,China:Gansu
SRX5801634,RNA-Seq,foliage,flower-falling,China:Gansu
SRX5801641,RNA-Seq,foliage,early flowering,China:Gansu
SRX5801636,RNA-Seq,foliage,full-blooming,China:Gansu
SRX5801640,RNA-Seq,foliage,early flowering,China:Gansu
SRX5801639,RNA-Seq,foliage,early flowering,China:Gansu
SRX5801632,RNA-Seq,foliage,early flowering,China:Gansu
SRX5801633,RNA-Seq,foliage,early flowering,China:Gansu
SRX5801631,RNA-Seq,foliage,full-blooming,China:Gansu
SRX5801625,RNA-Seq,foliage,full-blooming,China:Gansu
SRX5801624,RNA-Seq,foliage,early flowering,China:Gansu
SRX5801628,RNA-Seq,foliage,flower-falling,China:Gansu
SRX5801630,RNA-Seq,foliage,full-blooming,China:Gansu
SRX5801626,RNA-Seq,foliage,full-blooming,China:Gansu
SRX5801629,RNA-Seq,foliage,flower-falling,China:Gansu
SRX5705731,RNA-Seq,tuber skin,mature tuber,Canada: Charlottetown
SRX5801627,RNA-Seq,foliage,full-blooming,China:Gansu
SRX5705730,RNA-Seq,tuber skin,mature tuber,Canada: Charlottetown
SRX5705727,RNA-Seq,tuber skin,mature tuber,Canada: Charlottetown
SRX5705726,RNA-Seq,tuber skin,mature tuber,Canada: Charlottetown
SRX5679136,RNA-Seq,Skin peel,mature tuber,Canada: Charlottetown
SRX5679137,RNA-Seq,Skin peel,mature tuber,Canada: Charlottetown
SRX5679135,RNA-Seq,Skin peel,mature tuber,Canada: Charlottetown
SRX5679134,RNA-Seq,Skin peel,mature tuber,Canada: Charlottetown
SRX5679133,RNA-Seq,Skin peel,mature tuber,Canada: Charlottetown
SRX5679132,RNA-Seq,Skin peel,mature tuber,Canada: Charlottetown
SRX5705729,RNA-Seq,tuber skin,mature tuber,Canada: Charlottetown
SRX5705728,RNA-Seq,tuber skin,mature tuber,Canada: Charlottetown
SRX5670494,RNA-Seq,whole body,,
SRX5670492,RNA-Seq,whole body,,
SRX5670493,RNA-Seq,whole body,,
SRX5670491,RNA-Seq,whole body,,
SRX5670490,RNA-Seq,whole body,,
SRX5634213,RNA-Seq,Root,,"India: ICAR-CPRI, Shimla"
SRX5634214,RNA-Seq,Root,,"India: ICAR-CPRI, Shimla"
SRX5634212,RNA-Seq,Stolon,,"India: ICAR-CPRI, Shimla"
SRX5634215,RNA-Seq,Shoot,,"India: ICAR-CPRI, Shimla"
SRX5634211,RNA-Seq,Stolon,,"India: ICAR-CPRI, Shimla"
ERX2165463,RNA-Seq,leaf,,
ERX2165466,RNA-Seq,leaf,,
SRX5634216,RNA-Seq,Shoot,,"India: ICAR-CPRI, Shimla"
ERX2165460,RNA-Seq,leaf,,
ERX2165456,RNA-Seq,leaf,,
ERX2165457,RNA-Seq,leaf,,
ERX2165454,RNA-Seq,leaf,,
ERX2165447,RNA-Seq,leaf,,
ERX2165450,RNA-Seq,leaf,,
ERX2165451,RNA-Seq,leaf,,
ERX2165443,RNA-Seq,leaf,,
ERX2165445,RNA-Seq,leaf,,
ERX2165442,RNA-Seq,leaf,,
ERX2165440,RNA-Seq,leaf,,
ERX2165435,RNA-Seq,leaf,,
ERX2165434,RNA-Seq,leaf,,
ERX2165431,RNA-Seq,leaf,,
ERX3121155,RNA-Seq,,,Netherlands
ERX3121152,RNA-Seq,,,
ERX3121151,RNA-Seq,,,
ERX3121147,RNA-Seq,,,
ERX3121150,RNA-Seq,,,
ERX3121148,RNA-Seq,,,
ERX3121153,RNA-Seq,,,
ERX3121149,RNA-Seq,,,
ERX3121154,RNA-Seq,,,Netherlands
ERX3121145,RNA-Seq,,,
ERX3121146,RNA-Seq,,,
ERX3121144,RNA-Seq,,,
ERX3121142,RNA-Seq,,,
SRX5580791,RNA-Seq,leaf,,China: Shandong
ERX3121143,RNA-Seq,,,
SRX5562544,RNA-Seq,tuber-white flesh,not applicable,China:Gansu
SRX5562962,RNA-Seq,tuber-purple flesh,not applicable,China:Gansu
SRX5562676,RNA-Seq,tuber-purple flesh,not applicable,China:Gansu
SRX5562961,RNA-Seq,tuber-purple flesh,not applicable,China:Gansu
SRX5562541,RNA-Seq,tuber-white flesh,not applicable,China:Gansu
SRX5562464,RNA-Seq,tuber-white flesh,not applicable,China:Gansu
SRX1985899,OTHER,leaf,,
SRX1985902,OTHER,leaf,,
SRX1985901,OTHER,leaf,,
SRX1985900,OTHER,leaf,,
SRX1977549,ncRNA-Seq,leaf,,
SRX1977550,ncRNA-Seq,leaf,,
SRX1977547,ncRNA-Seq,leaf,,
SRX1977552,ncRNA-Seq,leaf,,
SRX1977551,ncRNA-Seq,leaf,,
SRX1977543,ncRNA-Seq,leaf,,
SRX1977542,ncRNA-Seq,leaf,,
SRX1977544,ncRNA-Seq,leaf,,
SRX1977545,ncRNA-Seq,leaf,,
SRX1977541,ncRNA-Seq,leaf,,
SRX5263660,RNA-Seq,root,,Russia:St. Petersburg
SRX1977540,ncRNA-Seq,leaf,,
SRX1977546,ncRNA-Seq,leaf,,
SRX5263661,RNA-Seq,root,,Russia:St. Petersburg
SRX5263659,RNA-Seq,root,,Russia:St. Petersburg
SRX5263655,RNA-Seq,root,,Russia:St. Petersburg
SRX5263656,RNA-Seq,root,,Russia:St. Petersburg
SRX5263654,RNA-Seq,root,,Russia:St. Petersburg
SRX5263658,RNA-Seq,root,,Russia:St. Petersburg
SRX5263652,RNA-Seq,root,,Russia:St. Petersburg
SRX5263653,RNA-Seq,root,,Russia:St. Petersburg
SRX5263657,RNA-Seq,root,,Russia:St. Petersburg
SRX5263650,RNA-Seq,root,,Russia:St. Petersburg
SRX5263651,RNA-Seq,root,,Russia:St. Petersburg
SRX5263649,RNA-Seq,root,,Russia:St. Petersburg
SRX5263647,RNA-Seq,root,,Russia:St. Petersburg
SRX5263648,RNA-Seq,root,,Russia:St. Petersburg
SRX5263646,RNA-Seq,root,,Russia:St. Petersburg
SRX5263645,RNA-Seq,root,,Russia:St. Petersburg
SRX5263644,RNA-Seq,root,,Russia:St. Petersburg
SRX5263642,RNA-Seq,root,,Russia:St. Petersburg
SRX5263640,RNA-Seq,root,,Russia:St. Petersburg
SRX5263641,RNA-Seq,root,,Russia:St. Petersburg
SRX5263639,RNA-Seq,root,,Russia:St. Petersburg
SRX5263643,RNA-Seq,root,,Russia:St. Petersburg
SRX5263637,RNA-Seq,root,,Russia:St. Petersburg
SRX5263636,RNA-Seq,root,,Russia:St. Petersburg
SRX5263638,RNA-Seq,root,,Russia:St. Petersburg
SRX5263635,RNA-Seq,root,,Russia:St. Petersburg
SRX5263634,RNA-Seq,root,,Russia:St. Petersburg
SRX5263633,RNA-Seq,root,,Russia:St. Petersburg
SRX5263632,RNA-Seq,root,,Russia:St. Petersburg
SRX5237916,miRNA-Seq,leaf,vegetative,not collected
SRX5237918,miRNA-Seq,leaf,vegetative,not collected
SRX5237913,miRNA-Seq,leaf,vegetative,not collected
SRX5237915,miRNA-Seq,leaf,vegetative,not collected
SRX5237914,miRNA-Seq,leaf,vegetative,not collected
SRX5237919,miRNA-Seq,leaf,vegetative,not collected
SRX5237920,miRNA-Seq,leaf,vegetative,not collected
SRX5199610,RNA-Seq,leaf,21 days,India: Meghalaya
SRX5199607,RNA-Seq,leaf,21 days,India: Meghalaya
SRX5199609,RNA-Seq,leaf,21 days,India: Meghalaya
SRX5202235,RNA-Seq,Leaves and stems,,China
SRX5199606,RNA-Seq,root,21 days,India: Meghalaya
SRX5199605,RNA-Seq,root,21 days,India: Meghalaya
SRX5199608,RNA-Seq,leaf,21 days,India: Meghalaya
SRX5199603,RNA-Seq,root,21 days,India: Meghalaya
SRX5199604,RNA-Seq,root,21 days,India: Meghalaya
SRX5179398,RNA-Seq,root,squaring period,China:Changchun
SRX5179396,RNA-Seq,root,squaring period,China:Changchun
SRX5179397,RNA-Seq,root,squaring period,China:Changchun
SRX5179394,RNA-Seq,leave,squaring period,China:Changchun
SRX5179395,RNA-Seq,root,squaring period,China:Changchun
SRX5179400,RNA-Seq,root,squaring period,China:Changchun
SRX5179399,RNA-Seq,root,squaring period,China:Changchun
SRX5179401,RNA-Seq,root,squaring period,China:Changchun
SRX5179392,RNA-Seq,leave,squaring period,China:Changchun
SRX5179393,RNA-Seq,leave,squaring period,China:Changchun
SRX5179389,RNA-Seq,leave,squaring period,China:Changchun
SRX5179390,RNA-Seq,leave,squaring period,China:Changchun
SRX5179388,RNA-Seq,leave,squaring period,China:Changchun
SRX5179387,RNA-Seq,leave,squaring period,China:Changchun
SRX5179386,RNA-Seq,root,squaring period,China:Changchun
SRX5179385,RNA-Seq,root,squaring period,China:Changchun
SRX5179391,RNA-Seq,leave,squaring period,China:Changchun
SRX5179384,RNA-Seq,root,squaring period,China:Changchun
SRX5179383,RNA-Seq,root,squaring period,China:Changchun
SRX5179382,RNA-Seq,root,squaring period,China:Changchun
SRX5179381,RNA-Seq,root,squaring period,China:Changchun
SRX5179379,RNA-Seq,root,squaring period,China:Changchun
SRX5179378,RNA-Seq,root,squaring period,China:Changchun
SRX5179380,RNA-Seq,root,squaring period,China:Changchun
SRX5179377,RNA-Seq,root,squaring period,China:Changchun
SRX5179376,RNA-Seq,root,squaring period,China:Changchun
SRX5179375,RNA-Seq,leave,squaring period,China:Changchun
SRX5179374,RNA-Seq,leave,squaring period,China:Changchun
SRX5179371,RNA-Seq,leave,squaring period,China:Changchun
SRX5179370,RNA-Seq,leave,squaring period,China:Changchun
SRX5179368,RNA-Seq,leave,squaring period,China:Changchun
SRX5179367,RNA-Seq,leave,squaring period,China:Changchun
SRX5179369,RNA-Seq,leave,squaring period,China:Changchun
SRX5179372,RNA-Seq,leave,squaring period,China:Changchun
SRX5179373,RNA-Seq,leave,squaring period,China:Changchun
SRX5123297,RNA-Seq,Tuber peels,,
SRX5179366,RNA-Seq,leave,squaring period,China:Changchun
SRX5123298,RNA-Seq,Tuber peels,,
SRX5123295,RNA-Seq,Tuber peels,,
SRX5096799,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5123296,RNA-Seq,Tuber peels,,
SRX5096798,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5096797,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5096795,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5096796,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5096803,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5096800,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5096802,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5096801,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5096794,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5096793,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5096792,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5096790,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5096788,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5096791,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
SRX5096789,FL-cDNA,leaf,fully developed plants,Slovenia: Ljubljana
ERX2580806,miRNA-Seq,,,
ERX2580805,miRNA-Seq,,,
SRX5084476,RNA-Seq,leaf,,
SRX5084473,RNA-Seq,leaf,,
SRX5084471,RNA-Seq,leaf,,
SRX5084474,RNA-Seq,leaf,,
SRX5084477,RNA-Seq,leaf,,
SRX5084475,RNA-Seq,leaf,,
SRX5084470,RNA-Seq,leaf,,
SRX5084472,RNA-Seq,leaf,,
SRX5084469,RNA-Seq,leaf,,
SRX5084468,RNA-Seq,leaf,,
SRX5082734,RNA-Seq,leaf,4 weeks,China: South
SRX5082731,RNA-Seq,leaf,4 weeks,China: South
SRX5082733,RNA-Seq,leaf,4 weeks,China: South
SRX5082729,RNA-Seq,leaf,4 weeks,missing
SRX5082732,RNA-Seq,leaf,4 weeks,China: South
SRX5082730,RNA-Seq,leaf,4 weeks,China: South
SRX5082728,RNA-Seq,leaf,4 weeks,missing
SRX5082727,RNA-Seq,leaf,4 weeks,China: South
SRX5082726,RNA-Seq,leaf,4 weeks,missing
SRX5073704,RNA-Seq,leaf,,
SRX4954077,RNA-Seq,root,,China
SRX4954078,RNA-Seq,root,,China
SRX4959599,RNA-Seq,Tuber,,"India: ICAR-CPRI, Shimla"
SRX4954080,RNA-Seq,root,,China
SRX4954081,RNA-Seq,root,,China
SRX4954079,RNA-Seq,root,,China
SRX4954076,RNA-Seq,root,,China
SRX5073703,RNA-Seq,leaf,,
SRX4959600,RNA-Seq,Tuber,,"India: ICAR-CPRI, Shimla"
SRX4902604,RNA-Seq,,,Netherlands
SRX4898966,RNA-Seq,Leaf,,USA:Weslaco
SRX4898967,RNA-Seq,Leaf,,USA:Weslaco
SRX4898965,RNA-Seq,Leaf,,USA:Weslaco
SRX4898964,RNA-Seq,Leaf,,USA:Weslaco
SRX4902603,RNA-Seq,,,Netherlands
SRX4898968,RNA-Seq,Leaf,,USA:Weslaco
SRX4898963,RNA-Seq,Leaf,,USA:Weslaco
SRX4902602,RNA-Seq,,,Netherlands
SRX4898961,RNA-Seq,Leaf,,USA:Weslaco
SRX4898943,RNA-Seq,Leaf,,USA:Weslaco
SRX4898941,RNA-Seq,Leaf,,USA:Weslaco
SRX4898942,RNA-Seq,Leaf,,USA:Weslaco
SRX4898940,RNA-Seq,Leaf,,USA:Weslaco
SRX4898939,RNA-Seq,Leaf,,USA:Weslaco
SRX4898937,RNA-Seq,Leaf,,USA:Weslaco
SRX4898936,RNA-Seq,Leaf,,USA:Weslaco
SRX4898929,RNA-Seq,Leaf,,USA:Weslaco
SRX4898935,RNA-Seq,Leaf,,USA:Weslaco
SRX4898938,RNA-Seq,Leaf,,USA:Weslaco
SRX4898934,RNA-Seq,Leaf,,USA:Weslaco
SRX4898925,RNA-Seq,Leaf,,USA:Weslaco
SRX4898928,RNA-Seq,Leaf,,USA:Weslaco
SRX4898924,RNA-Seq,Leaf,,USA:Weslaco
SRX4898926,RNA-Seq,Leaf,,USA:Weslaco
SRX4898923,RNA-Seq,Leaf,,USA:Weslaco
SRX4898920,RNA-Seq,Leaf,,USA:Weslaco
SRX4898922,RNA-Seq,Leaf,,USA:Weslaco
SRX4898919,RNA-Seq,Leaf,,USA:Weslaco
SRX4898921,RNA-Seq,Leaf,,USA:Weslaco
SRX4896684,RNA-Seq,,,Canada
SRX4896680,RNA-Seq,,,Canada
SRX4896682,RNA-Seq,,,Canada
SRX4896679,RNA-Seq,,,Canada
SRX4896681,RNA-Seq,,,Canada
SRX4896678,RNA-Seq,,,Canada
SRX4896683,RNA-Seq,,,Canada
SRX4896676,RNA-Seq,,,Canada
SRX4896677,RNA-Seq,,,Canada
SRX4896674,RNA-Seq,,,Canada
SRX4896675,RNA-Seq,,,Canada
SRX4896671,RNA-Seq,,,Canada
SRX4896672,RNA-Seq,,,Canada
SRX4896669,RNA-Seq,,,Canada
SRX4896670,RNA-Seq,,,Canada
SRX4896673,RNA-Seq,,,Canada
SRX4882746,RNA-Seq,Leaf,Mature,Australia
SRX4882745,RNA-Seq,Leaf,Mature,Australia
SRX4415371,RNA-Seq,the leaf,30days,not collected
SRX4882744,RNA-Seq,Leaf,Mature,Australia
SRX4882741,RNA-Seq,Leaf,Mature,Australia
SRX4415387,RNA-Seq,the leaf,30days,not collected
SRX4882743,RNA-Seq,Leaf,Mature,Australia
SRX4882737,RNA-Seq,Leaf,Mature,Australia
SRX4882742,RNA-Seq,Leaf,Mature,Australia
SRX4882738,RNA-Seq,Leaf,Mature,Australia
SRX4882735,RNA-Seq,Leaf,Mature,Australia
SRX4882739,RNA-Seq,Leaf,Mature,Australia
SRX4882734,RNA-Seq,Leaf,Mature,Australia
SRX4882740,RNA-Seq,Leaf,Mature,Australia
SRX4882736,RNA-Seq,Leaf,Mature,Australia
SRX4882733,RNA-Seq,Leaf,Mature,Australia
SRX4882730,RNA-Seq,Leaf,Mature,Australia
SRX4882731,RNA-Seq,Leaf,Mature,Australia
SRX4882728,RNA-Seq,Leaf,Mature,Australia
SRX4882732,RNA-Seq,Leaf,Mature,Australia
SRX4882727,RNA-Seq,Leaf,Mature,Australia
SRX4882726,RNA-Seq,Leaf,Mature,Australia
SRX4882725,RNA-Seq,Leaf,Mature,Australia
SRX4882722,RNA-Seq,Leaf,Mature,Australia
SRX4882724,RNA-Seq,Leaf,Mature,Australia
SRX4882723,RNA-Seq,Leaf,Mature,Australia
SRX4882718,RNA-Seq,Leaf,Mature,Australia
SRX4882721,RNA-Seq,Leaf,Mature,Australia
SRX4882729,RNA-Seq,Leaf,Mature,Australia
SRX4882719,RNA-Seq,Leaf,Mature,Australia
SRX4882716,RNA-Seq,Leaf,Mature,Australia
SRX4882720,RNA-Seq,Leaf,Mature,Australia
SRX4882717,RNA-Seq,Leaf,Mature,Australia
SRX4882714,RNA-Seq,Leaf,Mature,Australia
SRX4882713,RNA-Seq,Leaf,Mature,Australia
SRX4882715,RNA-Seq,Leaf,Mature,Australia
SRX4882710,RNA-Seq,Leaf,Mature,Australia
SRX4882711,RNA-Seq,Leaf,Mature,Australia
SRX4882712,RNA-Seq,Leaf,Mature,Australia
SRX4882708,RNA-Seq,Leaf,Mature,Australia
SRX4882709,RNA-Seq,Leaf,Mature,Australia
SRX4882707,RNA-Seq,Leaf,Mature,Australia
SRX4882706,RNA-Seq,Leaf,Mature,Australia
SRX4882705,RNA-Seq,Leaf,Mature,Australia
SRX4882703,RNA-Seq,Leaf,Mature,Australia
